Station_Name,total_trains,unique_trains
CST-MUMBAI,1027,1027
KALYAN JN,828,828
THANE,796,796
SEALDAH,745,745
CHENNAI BEAC,738,738
HOWRAH JN.,699,699
DADAR,598,598
DUM DUM JN.,463,463
KURLA,462,462
TAMBARAM,434,434
VIJAYWADA JN,416,416
GHAT KOPAR,406,406
BIDHANNAGAR,404,404
PANVEL,400,400
MULUND,393,393
MUMBAI (MATU,393,393
MUMBAI (BYCU,392,392
LUCKNOW JN.,385,385
KANPUR CENTR,383,382
VADODARA JN.,376,376
BHANDUP,373,373
VIKHROLI,370,370
VIDYAVIHAR,356,356
NEW DELHI,356,356
NAHUR,355,355
MUMBAI(PAREL,346,346
MUMBAI (CHIN,344,344
MUMBAI (MASJ,344,344
MUMBAI SANDH,344,344
MUMBAI CURRE,344,344
PERAMBUR,342,342
BANDEL JN.,325,325
BARDDHAMAN J,319,319
SURAT,316,316
KHARAGPUR,309,309
CHENNAI EGMO,309,309
NAIHATI JN.,307,307
LILUAH,306,306
AHMEDABAD,305,305
BALLYGUNGE J,300,300
BHUSAVAL JN.,298,298
BELUR,295,295
VILLIVAKKAM,293,293
MUGHAL SARAI,292,291
ITARSI,291,291
AVADI,291,291
SECUNDERABAD,288,288
AMBATTUR,281,281
PUNE JN.,278,278
AMBALA CANTT,274,274
VEYSARPADI,274,274
BASIN BRIDGE,268,268
DOMBIVLI,267,267
MOOR MARKET,267,267
SHRIRAMPUR,266,266
SEORAPHULI J,265,265
DIVA JN,265,265
BARRACKPORE,264,264
ASANSOL MAIN,263,263
GHAZIABAD JN,262,262
CHENGALPATTU,254,254
NAGPUR JN.(C,252,252
HAZRAT NIZAM,249,245
KALVA,248,248
KOPAR,248,248
MUMBRA,248,248
BHUBANESWAR,248,248
PATNA JN.,246,246
JHANSI JN,246,246
KATPADI JN,245,245
PATTABIRAM E,244,202
ANAND JN.,243,243
DELHI JN.,240,240
BHOPAL,239,239
MORADABAD JN,238,238
BALLY,238,238
UTTARPARA,238,238
KHURDA ROAD,236,236
SONARPUR JN.,235,235
LUDHIANA JN.,235,235
KONNAGAR,235,235
VISAKHAPATNA,233,233
VELACHEERY,233,233
RISHRA,233,233
HINDMOTOR,231,231
VARANASI JN.,230,230
THIRUMAYILAI,230,230
SANTRAGACHI,230,230
ARAKKONAM JN,227,227
AMBERNATH,225,225
RAJAHMUNDRY,220,220
GORAKHPUR JN,219,219
BELGHARIA,219,219
SODPUR,219,219
JADABPUR,217,217
DHAKURIA,217,217
ST. THOMAS M,217,217
GARIA,217,217
.BAGHAJATIN,217,217
KODAMBAKKAM,214,214
PALLAVARAM,214,214
ERODE JN.,214,214
MANMAD JN.,212,212
MATHURA JN.,212,212
KHARDAHA,210,210
